date invoice,aliac,upc,name,barcode,Ordered QTY,Size US/UK,eu size,rrp,Season,gender,color,Category,cost,silling price,customer price,Brand
45915,177710W,177710W,"""Embossed Leather, Contrast Piping And Lining La",197976175556,3,9.0,39.0,350,fw25,WOMENS,W,Footwear,175.525,203.0,280,"""Embossed"
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465695,3,10.0,43.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465701,2,10.5,44.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465718,1,11.0,45.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465732,1,12.0,46.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465640,1,7.5,40.5,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465657,2,8.0,41.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465671,2,9.0,42.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227BBK,205227BBK,Round Toe Leather Chelsea,197976465688,2,9.5,42.5,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465824,3,10.0,43.0,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465831,2,10.5,44.0,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465848,1,11.0,45.0,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465862,1,12.0,46.0,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465770,1,7.5,40.5,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465787,2,8.0,41.0,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465800,2,9.0,42.0,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,205227CHOC,205227CHOC,Round Toe Leather Chelsea,197976465817,2,9.5,42.5,400,fw25,MENS,CHOC,Footwear,200.6,232.0,320,Round
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739087994,6,10.5,44.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739088007,3,11.0,44.5,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739088014,3,11.5,45.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739088038,3,12.5,46.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739087932,3,7.5,40.5,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739087949,3,8.0,41.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739087956,6,8.5,42.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739087963,6,9.0,42.5,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354BBK,216354BBK,Two Tone Engineered Knit Bungee,198739087970,9,9.5,43.0,350,fw25,MENS,BBK,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277307,4,10.5,44.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277314,2,11.0,44.5,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277321,2,11.5,45.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277345,2,12.5,46.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277246,2,7.5,40.5,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277253,2,8.0,41.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277260,4,8.5,42.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277277,4,9.0,42.5,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277284,6,9.5,43.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277307,2,10.5,44.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277314,1,11.0,44.5,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
45915,216354GYCC,216354GYCC,Two Tone Engineered Knit Bungee,198376277321,1,11.5,45.0,350,fw25,MENS,GYCC,Footwear,175.525,203.0,280,Two
